Equipe;Pontos;Ref;Assistência;Roubo;Block;Faltas;Turnover;Orebote;FGA;FGM;3A;3M;FTA;FTM
"trailblazers";131;"DIA 52.12 pistons-trailblazers.xls";34;15;5;13;8;6;98;50;24;13;22;18
"trailblazers";125;"DIA 83.18 pelicans-trailblazers.xls";29;7;9;17;7;6;98;46;19;13;23;20
"Kings";113;"DIA 127.28 trailblazers-Kings.xls";29;13;11;13;10;6;101;47;23;6;14;13
"Kings";109;"DIA 129.28 Kings-Suns.xls";27;6;7;17;14;6;88;41;22;10;24;17
"Kings";100;"DIA 10.3 rockets-Kings.xls";34;5;6;12;18;6;94;45;15;5;10;5
"Kings";115;"DIA 101.22 Kings-rockets.xls";28;12;12;11;4;6;98;45;26;10;19;15
"Kings";102;"DIA 114.24 spurs-Kings.xls";22;6;10;18;11;6;85;35;26;10;30;22
"Kings";107;"DIA 115.25 Kings-rockets.xls";31;4;3;10;9;6;93;45;25;11;8;6
"Kings";104;"DIA 117.25 hornets-Kings.xls";28;5;6;16;9;6;84;37;20;4;34;26
"Kings";111;"DIA 12.3 warriors-Kings.xls";32;14;7;5;15;6;99;45;15;4;23;17
"Kings";132;"DIA 37.9 cavaliers-Kings.xls";32;11;10;10;8;6;100;54;23;9;19;15
"Kings";128;"DIA 47.11 Kings-trailblazers.xls";35;11;12;17;9;6;102;53;12;5;18;17
"Kings";114;"DIA 53.12 Kings-wizards.xls";32;9;4;15;15;6;91;46;18;6;20;16
"Kings";110;"DIA 8.2 pacers-Kings.xls";26;12;8;17;16;6;90;38;13;7;32;27
"Kings";99;"DIA 85.18 timberwolves-Kings.xls";21;13;9;8;13;6;92;37;22;7;25;18
"Kings";100;"DIA 90.19 Kings-pistons.xls";27;8;4;16;6;6;96;42;18;6;17;10
"Kings";107;"DIA 92.20 Kings-magic.xls";26;10;4;12;10;6;93;44;22;9;15;10
"Kings";119;"DIA 99.21 Kings-pacers.xls";27;8;9;12;14;6;93;41;17;8;36;29
"pacers";99;"DIA 129.28 pacers-trailblazers.xls";20;9;5;17;14;6;91;35;34;8;26;21
"pacers";125;"DIA 25.6 pacers-magic.xls";30;14;8;15;25;6;101;45;42;17;21;18
"pacers";119;"DIA 30.7 pacers-wizards.xls";28;13;7;20;17;6;103;44;40;16;19;15
"pacers";130;"DIA 36.9 Sixers-pacers.xls";32;11;6;11;14;6;99;48;23;11;29;23
"pacers";121;"DIA 48.11 pacers-mavericks.xls";32;10;7;29;15;6;98;46;26;14;21;15
"pacers";123;"DIA 58.13 pacers-Jazz.xls";30;6;7;14;13;6;94;48;33;18;10;9
"pacers";122;"DIA 61.14 grizzlies-pacers.xls";32;8;9;10;11;6;96;48;26;15;15;11
"pacers";107;"DIA 8.2 pacers-Kings.xls";28;8;10;23;17;6;89;37;25;9;26;24
"pacers";133;"DIA 81.18 pacers-celtics.xls";34;11;6;17;17;6;97;46;35;12;36;29
"pacers";122;"DIA 85.18 cavaliers-pacers.xls";33;10;4;13;9;6;95;48;34;12;16;14
"pacers";114;"DIA 88.19 pacers-clippers.xls";24;9;9;17;11;6;94;39;36;12;29;24
"pacers";120;"DIA 89.19 pacers-raptors.xls";30;7;6;19;14;6;98;45;34;13;22;17
"celtics";115;"DIA 101.22 pistons-celtics.xls";32;9;2;12;11;6;102;45;47;16;13;9
"celtics";122;"DIA 102.22 cavaliers-celtics.xls";27;11;11;20;19;6;92;47;29;12;17;16
"celtics";101;"DIA 103.22 celtics-Bulls.xls";27;8;6;25;17;6;91;38;23;11;17;14
"celtics";101;"DIA 107.23 spurs-celtics.xls";25;11;13;20;8;6;90;42;33;13;8;4
"celtics";129;"DIA 117.25 trailblazers-celtics.xls";31;9;4;16;6;6;105;51;38;14;16;13
"celtics";82;"DIA 16.4 magic-celtics.xls";19;6;12;9;22;6;91;36;26;6;6;4
"celtics";89;"DIA 26.7 nuggets-celtics.xls";28;5;8;9;14;6;90;37;21;7;11;8
"celtics";120;"DIA 32.8 celtics-pacers.xls";29;6;4;15;9;6;106;46;31;13;17;15
"celtics";117;"DIA 47.11 celtics-heat.xls";33;11;6;19;9;6;109;49;21;7;14;12
"celtics";97;"DIA 5.2 warriors-celtics.xls";31;11;9;10;15;6;98;39;32;7;16;12
"celtics";99;"DIA 54.12 celtics-pelicans.xls";29;9;9;21;16;6;89;41;29;5;19;12
"celtics";115;"DIA 72.16 cavaliers-celtics.xls";29;10;9;9;9;6;102;48;38;16;3;3
"celtics";134;"DIA 80.17 celtics-hawks.xls";35;9;6;20;19;6;111;52;40;15;21;15
"celtics";97;"DIA 9.3 celtics-spurs.xls";30;11;9;20;17;6;91;42;19;6;13;7
"celtics";103;"DIA 90.19 celtics-nets.xls";22;10;6;17;10;6;99;39;34;15;16;10
"clippers";108;"DIA 130.28 thunder-clippers.xls";30;9;7;24;14;6;95;43;17;5;26;17
"clippers";116;"DIA 31.8 thunder-clippers.xls";23;10;2;20;11;6;105;48;11;3;26;17
"clippers";106;"DIA 37.9 Jazz-clippers.xls";29;10;12;17;9;6;104;48;22;6;7;4
"clippers";99;"DIA 46.11 clippers-Suns.xls";22;10;11;16;20;6;91;37;18;6;23;19
"clippers";100;"DIA 49.11 bucks-clippers.xls";20;9;7;9;14;6;98;42;17;4;16;12
"clippers";117;"DIA 53.12 clippers-warriors.xls";27;9;12;21;7;6;114;47;27;7;25;16
"clippers";92;"DIA 57.13 clippers-lakers.xls";21;8;11;21;10;6;92;37;16;9;18;9
"clippers";110;"DIA 61.14 clippers-rockets.xls";27;12;5;5;7;6;104;42;32;10;23;16
"clippers";120;"DIA 64.14 clippers-mavericks.xls";29;11;6;13;11;6;106;52;21;7;9;9
"clippers";107;"DIA 74.16 clippers-Kings.xls";22;10;11;18;11;6;93;43;10;4;19;17
"clippers";102;"DIA 88.19 pacers-clippers.xls";31;6;14;20;13;6;99;45;16;4;15;8
"clippers";95;"DIA 92.20 clippers-pacers.xls";24;5;14;16;11;6;88;34;20;7;25;20
"clippers";85;"DIA 98.21 Jazz-clippers.xls";23;10;4;19;12;6;100;37;20;6;7;5
"magic";115;"DIA 11.3 magic-nets.xls";30;16;4;18;13;6;107;50;37;8;15;7
"magic";126;"DIA 51.12 rockets-magic.xls";34;15;9;15;13;6;99;49;35;9;22;19
"magic";117;"DIA 56.13 magic-Suns.xls";32;8;11;15;8;6;102;47;31;9;18;14
"magic";129;"DIA 85.18 nets-magic.xls";34;12;8;9;11;6;100;53;35;17;7;6
"magic";108;"DIA 90.19 nuggets-magic.xls";32;13;4;17;13;6;98;45;28;8;10;10
"rockets";73;"DIA 128.28 lakers-rockets.xls";25;2;1;5;16;6;84;31;2;0;14;11
"rockets";101;"DIA 103.22 rockets-pelicans.xls";27;6;8;23;12;6;96;44;30;9;6;4
"rockets";108;"DIA 108.23 rockets-timberwolves.xls";29;10;6;9;7;6;102;45;27;4;18;14
"rockets";85;"DIA 110.23 rockets-pacers.xls";27;7;9;17;14;6;90;35;22;8;11;7
"rockets";75;"DIA 112.24 rockets-Sixers.xls";24;5;9;11;15;6;91;33;0;0;11;9
"rockets";115;"DIA 13.4 rockets-Jazz.xls";33;5;11;9;15;6;99;46;29;12;13;11
"rockets";103;"DIA 20.5 rockets-warriors.xls";27;7;5;14;14;6;102;41;23;9;13;12
"rockets";109;"DIA 23.6 Jazz-rockets.xls";29;10;4;16;19;6;105;45;36;12;7;7
"rockets";115;"DIA 3.1 spurs-rockets.xls";32;9;10;15;25;6;91;45;27;11;15;14
"rockets";102;"DIA 40.9 rockets-pelicans.xls";26;9;4;8;17;6;93;38;34;13;16;13
"rockets";113;"DIA 45.10 rockets-Kings.xls";27;6;13;19;7;6;100;44;32;13;13;12
"rockets";111;"DIA 93.20 rockets-spurs.xls";29;12;5;19;13;6;94;42;34;14;17;13
"spurs";112;"DIA 107.23 spurs-celtics.xls";25;4;10;6;12;6;88;37;21;8;35;30
"spurs";122;"DIA 16.4 spurs-Jazz.xls";32;20;2;15;13;6;107;56;23;7;3;3
"spurs";101;"DIA 23.6 timberwolves-spurs.xls";18;13;8;8;14;6;96;37;21;7;24;20
"spurs";135;"DIA 68.15 spurs-Bulls.xls";34;12;7;15;12;6;110;57;27;13;10;8
"spurs";119;"DIA 8.2 bucks-spurs.xls";32;11;6;13;11;6;92;48;19;9;16;14
"spurs";111;"DIA 86.19 cavaliers-spurs.xls";26;5;9;10;9;6;100;42;34;11;23;16
"knicks";89;"DIA 107.23 rockets-knicks.xls";19;13;8;16;11;6;92;36;21;4;19;13
"knicks";106;"DIA 109.23 knicks-Jazz.xls";29;7;8;16;14;6;95;44;31;13;10;5
"knicks";122;"DIA 119.26 nuggets-knicks.xls";34;4;8;12;6;6;100;47;25;14;15;14
"knicks";120;"DIA 24.6 knicks-rockets.xls";29;11;10;20;20;6;106;48;20;9;16;15
"knicks";108;"DIA 29.7 knicks-nets.xls";25;8;8;11;15;6;99;44;23;9;19;11
"knicks";107;"DIA 48.11 magic-knicks.xls";28;7;5;8;10;6;106;43;30;10;12;11
"knicks";103;"DIA 55.12 knicks-pacers.xls";32;6;7;19;9;6;104;45;30;9;7;4
"knicks";123;"DIA 57.13 knicks-pistons.xls";34;11;6;17;13;6;102;48;23;8;21;19
"knicks";92;"DIA 60.13 knicks-Suns.xls";25;7;7;12;18;6;90;34;22;7;19;17
"knicks";107;"DIA 73.16 Suns-knicks.xls";27;10;7;14;9;6;96;43;20;8;16;13
"knicks";109;"DIA 83.18 bucks-knicks.xls";31;6;3;10;7;6;92;42;20;6;22;19
"knicks";97;"DIA 91.20 knicks-Bulls.xls";24;7;7;11;11;6;106;40;29;9;13;8
"Suns";121;"DIA 128.28 trailblazers-Suns.xls";30;7;6;12;15;6;95;45;34;15;16;16
"Suns";101;"DIA 129.28 Kings-Suns.xls";29;8;6;12;6;6;96;37;36;13;17;14
"Suns";121;"DIA 107.23 Suns-raptors.xls";31;6;7;20;12;6;92;45;33;13;22;18
"Suns";122;"DIA 124.27 wizards-Suns.xls";27;10;14;14;12;6;87;45;35;13;24;19
"Suns";137;"DIA 23.6 Suns-nuggets.xls";36;12;9;13;18;6;103;52;31;12;24;21
"Suns";113;"DIA 52.12 Suns-thunder.xls";30;9;15;19;14;6;93;43;29;10;21;17
"Suns";121;"DIA 53.12 Suns-mavericks.xls";34;5;8;24;17;6;96;44;27;19;19;14
"Suns";95;"DIA 56.13 magic-Suns.xls";24;5;13;12;12;6;97;35;32;8;21;17
"Suns";114;"DIA 6.2 Suns-bucks.xls";24;13;7;7;18;6;90;41;30;8;27;24
"Suns";115;"DIA 76.17 Jazz-Suns.xls";26;10;13;11;8;6;96;43;38;15;17;14
"cavaliers";77;"DIA 104.22 pacers-cavaliers.xls";15;10;6;13;17;6;94;28;28;9;17;12
"cavaliers";87;"DIA 111.24 hawks-cavaliers.xls";23;12;4;10;16;6;90;35;25;9;10;8
"cavaliers";89;"DIA 116.25 pacers-cavaliers.xls";30;9;6;14;10;6;95;38;25;8;10;5
"cavaliers";83;"DIA 123.27 cavaliers-pistons.xls";21;8;8;5;12;6;98;35;25;3;14;10
"cavaliers";100;"DIA 124.27 hornets-cavaliers.xls";25;9;9;10;14;6;92;40;26;11;13;9
"cavaliers";91;"DIA 30.7 Jazz-cavaliers.xls";25;11;8;16;24;6;89;40;21;5;7;6
"cavaliers";103;"DIA 32.8 cavaliers-wizards.xls";29;14;13;17;15;6;97;44;21;7;12;8
"cavaliers";110;"DIA 38.9 Bulls-cavaliers.xls";30;6;5;12;11;6;102;43;24;10;26;14
"cavaliers";106;"DIA 46.11 cavaliers-Sixers.xls";31;5;11;11;8;6;97;41;20;7;22;17
"cavaliers";79;"DIA 49.11 lakers-cavaliers.xls";17;9;7;15;12;6;92;32;17;3;16;12
"cavaliers";110;"DIA 5.2 bucks-cavaliers.xls";31;13;4;12;18;6;102;50;12;3;7;7
"cavaliers";74;"DIA 59.13 celtics-cavaliers.xls";19;5;8;16;14;6;93;30;17;3;14;11
"cavaliers";91;"DIA 63.14 nets-cavaliers.xls";23;5;7;11;10;6;91;36;26;5;18;14
"cavaliers";99;"DIA 88.19 cavaliers-magic.xls";24;13;11;8;14;6;98;41;25;9;12;8
"cavaliers";111;"DIA 92.20 cavaliers-warriors.xls";25;5;10;13;14;6;88;43;22;9;24;16
"warriors";75;"DIA 121.26 warriors-Suns.xls";23;9;5;10;7;6;93;31;33;10;9;3
"warriors";89;"DIA 13.4 grizzlies-warriors.xls";25;11;3;13;11;6;99;35;32;8;12;11
"warriors";101;"DIA 15.4 hornets-warriors.xls";22;8;4;14;19;6;84;38;21;6;25;19
"warriors";102;"DIA 39.9 warriors-raptors.xls";26;7;4;20;12;6;94;39;36;8;18;16
"warriors";130;"DIA 48.11 grizzlies-warriors.xls";31;14;6;18;14;6;104;51;33;15;16;13
"warriors";133;"DIA 5.2 warriors-celtics.xls";36;10;6;11;17;6;101;53;36;18;12;9
"warriors";127;"DIA 55.12 warriors-rockets.xls";34;9;8;13;11;6;97;53;29;9;16;12
"warriors";128;"DIA 61.14 nuggets-warriors.xls";31;7;8;25;9;6;95;45;26;11;30;27
"warriors";111;"DIA 64.14 warriors-pistons.xls";34;8;4;20;16;6;98;48;22;8;7;7
"warriors";101;"DIA 78.17 bucks-warriors.xls";26;15;6;11;11;6;97;41;26;8;14;11
"bucks";110;"DIA 102.22 bucks-wizards.xls";28;5;5;16;9;4;88;40;38;15;24;15
"bucks";134;"DIA 108.23 bucks-heat.xls";30;14;9;15;10;4;96;51;39;17;19;15
"bucks";124;"DIA 112.24 hawks-bucks.xls";27;6;10;11;14;4;94;45;37;14;25;20
"bucks";87;"DIA 116.25 Sixers-bucks.xls";17;8;6;24;9;4;88;31;31;6;24;19
"bucks";104;"DIA 122.26 hornets-bucks.xls";30;6;6;16;17;4;94;39;34;15;14;11
"bucks";91;"DIA 15.4 nets-bucks.xls";23;9;5;12;16;4;88;36;22;8;16;11
"bucks";108;"DIA 29.7 pacers-bucks.xls";27;8;3;20;13;4;97;39;32;11;21;19
"bucks";112;"DIA 4.1 Bulls-bucks.xls";27;9;6;9;15;4;90;40;26;12;26;20
"bucks";115;"DIA 5.2 bucks-cavaliers.xls";27;12;7;5;16;4;95;44;35;14;15;13
"bucks";104;"DIA 82.18 rockets-bucks.xls";27;8;7;15;10;4;94;45;22;10;8;4
"bucks";74;"DIA 99.21 nets-bucks.xls";24;9;3;6;16;4;85;31;26;5;14;7
"mavericks";85;"DIA 100.21 mavericks-Suns.xls";20;13;10;9;9;4;101;36;25;7;9;6
"mavericks";118;"DIA 107.23 warriors-mavericks.xls";36;11;6;12;10;4;108;50;21;7;12;11
"mavericks";133;"DIA 110.23 mavericks-grizzlies.xls";29;6;8;18;10;4;89;50;21;13;25;20
"mavericks";110;"DIA 114.24 mavericks-nuggets.xls";29;4;6;9;14;4;93;44;25;13;9;9
"mavericks";117;"DIA 119.26 warriors-mavericks.xls";34;10;10;15;9;4;94;46;32;11;21;14
"mavericks";107;"DIA 126.27 mavericks-thunder.xls";35;5;4;15;11;4;100;45;20;6;16;11
"mavericks";103;"DIA 16.4 thunder-mavericks.xls";31;11;10;15;24;4;87;40;24;9;16;14
"mavericks";95;"DIA 38.9 pelicans-mavericks.xls";26;12;6;19;16;4;97;39;26;9;13;8
"mavericks";112;"DIA 39.9 mavericks-cavaliers.xls";25;11;12;20;8;4;93;42;24;8;23;20
"mavericks";105;"DIA 43.10 grizzlies-mavericks.xls";33;9;8;12;6;4;109;46;24;10;4;3
"mavericks";134;"DIA 44.10 mavericks-timberwolves.xls";40;8;7;22;13;4;107;55;18;5;23;19
"mavericks";116;"DIA 47.11 Suns-mavericks.xls";30;10;13;8;12;4;105;48;17;5;15;15
"mavericks";116;"DIA 66.15 mavericks-rockets.xls";29;5;6;10;12;4;89;43;18;9;27;21
"mavericks";116;"DIA 78.17 mavericks-hawks.xls";32;13;5;13;7;4;97;47;18;5;19;17
"Bulls";105;"DIA 16.4 Bulls-timberwolves.xls";27;9;8;18;18;4;97;43;16;7;16;12
"Bulls";87;"DIA 17.5 mavericks-Bulls.xls";20;5;5;17;15;4;88;38;16;8;4;3
"Bulls";116;"DIA 40.9 Bulls-nets.xls";28;8;3;17;9;4;101;47;24;8;18;14
"Bulls";131;"DIA 69.15 Bulls-thunder.xls";35;9;6;16;15;4;94;49;18;7;29;26
"Bulls";103;"DIA 83.18 Sixers-Bulls.xls";29;6;7;17;14;4;88;40;13;5;21;18
"raptors";93;"DIA 10.3 raptors-knicks.xls";28;5;4;18;16;4;90;39;21;4;19;11
"raptors";115;"DIA 105.22 wizards-raptors.xls";25;11;10;17;5;4;85;40;16;3;45;32
"raptors";127;"DIA 111.24 pacers-raptors.xls";30;11;6;20;10;4;92;49;19;9;32;20
"raptors";127;"DIA 112.24 raptors-celtics.xls";28;16;3;14;12;4;93;46;33;13;31;22
"raptors";135;"DIA 119.26 celtics-raptors.xls";30;12;3;13;13;4;87;46;18;9;42;34
"raptors";129;"DIA 126.27 raptors-hornets.xls";34;4;6;20;9;4;98;49;28;12;22;19
"raptors";107;"DIA 30.7 raptors-magic.xls";23;16;3;14;16;4;104;45;23;5;16;12
"raptors";117;"DIA 31.8 raptors-nuggets.xls";31;9;10;18;11;4;99;43;25;10;28;21
"raptors";123;"DIA 33.8 raptors-Sixers.xls";31;7;8;19;13;4;91;45;18;7;32;26
"raptors";128;"DIA 39.9 warriors-raptors.xls";36;10;9;18;15;4;86;48;15;5;32;27
"raptors";87;"DIA 54.12 raptors-heat.xls";30;14;5;11;11;4;81;37;22;5;14;8
"raptors";106;"DIA 55.12 raptors-Sixers.xls";27;10;8;13;7;4;92;44;26;4;20;14
"raptors";106;"DIA 59.13 raptors-Suns.xls";24;7;8;15;8;4;98;38;16;2;39;28
"raptors";123;"DIA 61.14 Bulls-raptors.xls";34;13;8;21;15;4;95;48;20;12;21;15
"raptors";105;"DIA 75.16 knicks-raptors.xls";26;9;7;17;10;4;96;42;26;7;17;14
"raptors";108;"DIA 79.17 hawks-raptors.xls";29;9;8;17;16;4;86;43;21;7;22;15
"raptors";107;"DIA 90.19 trailblazers-raptors.xls";26;14;6;19;7;4;96;39;19;6;30;23
"raptors";115;"DIA 96.21 raptors-Bulls.xls";27;8;11;14;14;4;93;45;15;6;25;19
"raptors";103;"DIA 99.21 hornets-raptors.xls";23;12;13;20;11;4;86;33;27;8;37;29
"grizzlies";109;"DIA 101.22 grizzlies-cavaliers.xls";34;9;5;14;12;4;95;47;22;9;11;6
"grizzlies";92;"DIA 15.4 grizzlies-clippers.xls";28;6;5;18;25;4;90;37;18;7;21;11
"grizzlies";112;"DIA 22.6 grizzlies-spurs.xls";30;13;9;9;11;4;97;47;24;6;15;12
"grizzlies";86;"DIA 38.9 grizzlies-Kings.xls";21;5;10;20;16;4;96;34;21;3;20;15
"grizzlies";117;"DIA 57.13 grizzlies-timberwolves.xls";33;12;7;17;14;4;109;47;25;7;19;16
"grizzlies";99;"DIA 6.2 warriors-grizzlies.xls";25;11;6;15;11;4;100;41;18;3;17;14
"grizzlies";84;"DIA 80.17 thunder-grizzlies.xls";21;7;5;7;13;4;86;30;20;2;31;22
"grizzlies";111;"DIA 89.19 nuggets-grizzlies.xls";26;10;8;10;13;4;96;44;24;10;18;13
"grizzlies";126;"DIA 96.21 pacers-grizzlies.xls";40;5;8;17;17;4;120;52;24;10;14;12
"pistons";112;"DIA 127.28 grizzlies-pistons.xls";35;12;8;15;15;4;94;45;18;6;18;16
"pistons";113;"DIA 16.4 pistons-hawks.xls";27;16;7;8;16;4;99;47;13;6;15;13
"pistons";117;"DIA 36.9 bucks-pistons.xls";31;8;4;8;10;4;94;47;21;6;20;17
"pistons";109;"DIA 6.2 pistons-Jazz.xls";31;13;13;14;10;4;99;47;21;10;5;5
"pistons";124;"DIA 69.15 pistons-timberwolves.xls";36;9;4;10;7;4;94;48;22;8;24;20
"pistons";135;"DIA 71.16 spurs-pistons.xls";40;14;6;8;9;4;112;56;17;7;17;16
"pistons";113;"DIA 76.17 rockets-pistons.xls";30;10;5;9;13;4;96;47;20;7;15;12
"pistons";90;"DIA 81.18 magic-pistons.xls";19;3;13;9;13;4;78;26;20;6;39;32
"pistons";104;"DIA 83.18 pistons-rockets.xls";25;13;10;17;12;4;93;43;15;6;13;12
"heat";117;"DIA 10.3 celtics-heat.xls";24;21;11;10;13;4;96;46;13;8;21;17
"heat";131;"DIA 105.22 heat-grizzlies.xls";32;10;7;13;13;4;97;53;28;12;19;13
"heat";114;"DIA 107.23 cavaliers-heat.xls";24;6;11;16;11;4;96;46;24;10;13;12
"heat";117;"DIA 114.24 heat-raptors.xls";27;11;6;23;10;4;90;45;29;14;20;13
"heat";108;"DIA 117.25 magic-heat.xls";27;10;14;11;13;4;93;42;25;6;21;18
"heat";99;"DIA 13.4 timberwolves-heat.xls";24;8;5;9;20;4;85;36;24;6;27;21
"heat";118;"DIA 17.5 heat-wizards.xls";28;12;6;19;14;4;102;49;26;6;17;14
"heat";96;"DIA 44.10 heat-lakers.xls";24;11;5;16;12;4;99;41;23;4;18;10
"heat";100;"DIA 47.11 celtics-heat.xls";21;6;7;15;15;4;90;36;24;8;29;20
"heat";113;"DIA 86.19 pacers-heat.xls";24;8;10;13;10;4;87;41;28;13;23;18
"heat";98;"DIA 91.20 Sixers-Heat.xls";26;15;4;7;14;4;91;38;24;9;17;13
"heat";125;"DIA 96.21 magic-heat.xls";31;8;5;12;4;4;101;53;24;11;17;8
"nets";104;"DIA 105.22 nets-knicks.xls";25;7;10;18;11;4;91;39;20;5;26;21
"nets";103;"DIA 119.26 nets-Sixers.xls";27;11;9;11;5;4;100;44;18;5;12;10
"nets";116;"DIA 12.3 nets-hornets.xls";31;16;5;22;19;4;94;49;25;7;14;11
"nets";103;"DIA 17.5 thunder-nets.xls";29;7;4;9;13;4;92;38;22;6;26;21
"nets";126;"DIA 19.5 nets-knicks.xls";30;14;4;16;14;4;91;50;19;8;20;18
"nets";104;"DIA 29.7 knicks-nets.xls";22;10;7;17;14;4;95;41;25;10;16;12
"nets";122;"DIA 31.8 nets-celtics.xls";31;13;7;11;9;4;113;52;30;8;12;10
"nets";126;"DIA 47.11 Sixers-nets.xls";34;5;11;20;16;4;93;44;34;15;27;23
"nets";115;"DIA 48.11 pistons-nets.xls";33;9;6;10;13;4;103;47;24;10;12;11
"nets";122;"DIA 59.13 nets-Bulls.xls";38;10;6;15;14;4;97;50;26;9;13;13
"nets";111;"DIA 64.14 hawks-nets.xls";24;11;7;15;12;4;92;40;24;7;26;24
"nets";110;"DIA 77.17 nets-Kings.xls";27;9;9;12;12;4;90;44;21;10;17;12
"hornets";120;"DIA 130.28 heat-hornets.xls";23;10;5;6;7;4;94;44;18;4;33;28
"hornets";133;"DIA 122.26 hornets-bucks.xls";28;13;3;15;16;4;89;52;23;11;22;18
"hornets";135;"DIA 57.13 hornets-nets.xls";36;12;7;22;13;4;106;53;14;5;34;24
"hornets";100;"DIA 60.13 Kings-hornets.xls";26;6;5;11;15;4;97;40;19;4;19;16
"hornets";104;"DIA 90.19 mavericks-hornets.xls";25;7;7;14;18;4;88;40;24;9;19;15
"wizards";90;"DIA 101.22 hornets-wizards.xls";23;8;5;12;16;4;89;34;15;3;27;19
"wizards";98;"DIA 103.22 wizards-hornets.xls";30;4;12;16;9;4;90;39;13;4;21;16
"wizards";112;"DIA 105.22 wizards-raptors.xls";35;2;6;29;16;4;87;44;13;7;22;17
"wizards";114;"DIA 114.24 magic-wizards.xls";29;7;10;15;7;4;91;40;11;4;35;30
"wizards";121;"DIA 116.25 wizards-mavericks.xls";29;7;5;9;7;4;90;47;7;1;30;26
"wizards";116;"DIA 17.5 heat-wizards.xls";26;11;5;12;15;4;93;41;10;4;34;30
"wizards";100;"DIA 2.1 wizards-heat.xls";30;10;4;14;24;4;84;40;7;4;21;16
"wizards";113;"DIA 37.9 wizards-Bulls.xls";34;6;11;19;14;4;98;44;21;10;19;15
"wizards";124;"DIA 45.10 wizards-raptors.xls";36;2;6;14;11;4;95;45;12;3;37;31
"wizards";127;"DIA 47.11 wizards-pistons.xls";37;9;7;19;12;4;94;53;17;6;22;15
"wizards";122;"DIA 50.11 wizards-nets.xls";36;7;7;12;12;4;89;46;16;8;29;22
"wizards";97;"DIA 51.12 heat-wizards.xls";29;7;5;14;24;4;90;41;11;2;16;13
"wizards";100;"DIA 52.12 pelicans-wizards.xls";34;10;7;13;13;4;92;42;14;3;17;13
"wizards";111;"DIA 75.16 rockets-wizards.xls";37;6;9;12;8;4;92;44;15;6;20;17
"wizards";115;"DIA 8.2 clippers-wizards.xls";27;10;7;19;16;4;85;43;13;4;28;25
"wizards";110;"DIA 88.19 wizards-spurs.xls";31;9;2;20;9;4;89;43;14;4;29;20
"wizards";108;"DIA 89.19 warriors-wizards.xls";25;8;8;16;12;4;88;38;19;9;28;23
"wizards";131;"DIA 9.3 raptors-wizards.xls";40;4;4;21;14;4;94;50;15;10;28;21
"wizards";120;"DIA 90.19 timberwolves-wizards.xls";35;11;4;13;11;4;97;48;14;8;21;16
"wizards";105;"DIA 93.20 wizards-trailblazers.xls";25;11;9;14;7;4;92;37;20;4;33;27
"lakers";94;"DIA 118.25 pacers-lakers.xls";20;9;6;19;12;4;93;35;27;9;19;15
"lakers";108;"DIA 14.4 pelicans-lakers.xls";26;14;16;22;17;4;92;40;25;10;27;18
"lakers";92;"DIA 24.6 wizards-lakers.xls";25;9;7;16;18;4;82;34;27;9;18;15
"lakers";115;"DIA 36.9 lakers-warriors.xls";29;7;9;11;11;4;104;46;21;11;17;12
"lakers";115;"DIA 6.2 pelicans-lakers.xls";22;15;10;19;19;4;95;45;31;9;18;16
"lakers";103;"DIA 93.20 lakers-Jazz.xls";23;13;8;10;7;4;102;41;28;12;12;9
"Sixers";86;"DIA 113.24 clippers-Sixers.xls";23;8;7;12;11;4;89;32;21;6;21;16
"Sixers";120;"DIA 12.3 Sixers-grizzlies.xls";34;15;8;17;15;4;102;54;23;8;6;4
"Sixers";103;"DIA 120.26 Sixers-hawks.xls";24;2;3;13;13;4;88;35;24;12;26;21
"Sixers";133;"DIA 13.4 Sixers-trailblazers.xls";27;15;6;14;17;4;99;49;25;13;26;22
"Sixers";123;"DIA 15.4 Sixers-Suns.xls";36;15;8;11;21;4;97;51;25;10;16;11
"Sixers";113;"DIA 29.7 Suns-Sixers.xls";33;10;7;16;13;4;98;47;21;7;14;12
"Sixers";110;"DIA 43.10 Sixers-hornets.xls";28;9;5;15;20;4;92;44;18;10;15;12
"Sixers";129;"DIA 47.11 Sixers-nets.xls";31;13;6;15;7;4;102;51;23;7;33;20
"Sixers";131;"DIA 53.12 Sixers-spurs.xls";38;9;9;21;12;4;91;54;20;13;14;10
"Sixers";105;"DIA 74.16 celtics-Sixers.xls";25;11;10;10;11;4;81;40;15;4;27;21
"Sixers";114;"DIA 81.18 Sixers-knicks.xls";31;10;11;13;11;4;91;46;17;9;19;13
"nuggets";106;"DIA 10.3 nuggets-thunder.xls";22;12;3;21;15;4;97;41;17;7;21;17
"nuggets";90;"DIA 100.21 spurs-nuggets.xls";18;10;5;12;10;4;88;34;27;8;19;14
"nuggets";109;"DIA 107.23 nuggets-hornets.xls";26;7;11;16;10;4;94;44;18;6;22;15
"nuggets";125;"DIA 114.24 mavericks-nuggets.xls";34;13;8;5;5;4;97;50;21;10;17;15
"nuggets";103;"DIA 125.27 nuggets-pelicans.xls";26;10;9;20;11;4;99;41;25;9;16;12
"nuggets";126;"DIA 17.5 nuggets-raptors.xls";31;10;7;19;14;4;93;47;25;10;24;22
"nuggets";128;"DIA 30.7 nuggets-clippers.xls";30;16;7;19;16;4;103;48;29;11;23;21
"nuggets";124;"DIA 40.9 knicks-nuggets.xls";34;12;11;12;16;4;102;54;22;8;8;8
